name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"6.9271° N, 79.8612° E",2022-11-15,21.8,10.3,15.3,21.8,10.3,15.3,12.7,85.6,0,0,0,,0,0,20.2,4.7,56.5,1015.7,11.7,24.1,181.4,15.7,7,10,2022-11-15T05:29:07,2022-11-15T16:21:14,0.72,Clear,Clear conditions throughout the day.,clear-day,remote
"6.9271° N, 79.8612° E",2022-11-16,20.9,11,15.2,20.9,11,15.2,12.8,86.5,0.4,100,16.67,rain,0,0,21.6,5.4,37.9,1014.7,13.2,23.9,172.7,14.8,6,10,2022-11-16T05:29:51,2022-11-16T16:20:51,0.75,Rain,Clear conditions throughout the day with afternoon rain.,rain,remote
"6.9271° N, 79.8612° E",2022-11-17,20.4,10.6,15.1,20.4,10.6,15.1,12.7,86.8,1.1,100,33.33,rain,0,0,22.3,5,57.7,1014.8,23.8,23.8,159.4,13.7,6,10,2022-11-17T05:30:35,2022-11-17T16:20:30,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
"6.9271° N, 79.8612° E",2022-11-18,21.8,9.8,14.9,21.8,9.8,14.9,12,84,0,0,0,,0,0,20.5,5.4,86.2,1016.4,3.9,24.1,190,16.2,7,10,2022-11-18T05:31:19,2022-11-18T16:20:10,0.82,Clear,Clear conditions throughout the day.,clear-day,remote
"6.9271° N, 79.8612° E",2022-11-19,22.1,9.3,14.9,22.1,9.3,14.9,10.8,77.9,0,0,0,,0,0,18.7,5.8,111.2,1016.5,33.5,24.1,194.2,16.9,7,10,2022-11-19T05:32:04,2022-11-19T16:19:52,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"6.9271° N, 79.8612° E",2022-11-20,22,9.3,15.1,22,8.6,15.1,9.5,71.1,0,0,0,,0,0,23,6.1,136.4,1015,19.5,24.1,193.9,16.9,7,10,2022-11-20T05:32:49,2022-11-20T16:19:36,0.88,Clear,Clear conditions throughout the day.,clear-day,remote
"6.9271° N, 79.8612° E",2022-11-21,23.9,10.8,15.7,23.9,10.8,15.7,11.5,76.9,0,0,0,,0,0,24.5,5.8,1.9,1013.9,20.3,23.3,159.3,13.7,6,10,2022-11-21T05:33:33,2022-11-21T16:19:20,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42426099999,remote"
"6.9271° N, 79.8612° E",2022-11-22,21.6,9.8,15.1,21.6,9.8,15.1,12.5,86.1,0,0,0,,0,0,23.4,5.4,94,1013.9,13.7,24.1,163.2,14,7,10,2022-11-22T05:34:18,2022-11-22T16:19:07,0.95,Clear,Clear conditions throughout the day.,clear-day,remote
"6.9271° N, 79.8612° E",2022-11-23,21.7,9.7,15,21.7,9.7,15,12.3,84.9,0,0,0,,0,0,20.9,5,46.7,1014.2,36.8,24.1,166.6,14.4,7,10,2022-11-23T05:35:03,2022-11-23T16:18:55,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"6.9271° N, 79.8612° E",2022-11-24,22.1,9.9,15.2,22.1,9.9,15.2,12.2,83.9,0,0,0,,0,0,21.6,5,61.2,1014.9,7.1,24.1,172.2,14.9,7,10,2022-11-24T05:35:48,2022-11-24T16:18:44,0,Clear,Clear conditions throughout the day.,clear-day,remote
"6.9271° N, 79.8612° E",2022-11-25,23.6,10.2,15.8,23.6,10.2,15.8,11.3,77,0,0,0,,0,0,17.3,5.8,108.9,1015.5,0,24.1,190.4,16.4,7,10,2022-11-25T05:36:33,2022-11-25T16:18:35,0.05,Clear,Clear conditions throughout the day.,clear-day,remote
"6.9271° N, 79.8612° E",2022-11-26,22.5,10.8,15.4,22.5,10.8,15.4,11.6,79.7,0,0,0,,0,0,21.2,5.4,86.8,1014.3,0.5,24.1,186,16,7,10,2022-11-26T05:37:18,2022-11-26T16:18:28,0.08,Clear,Clear conditions throughout the day.,clear-day,remote
"6.9271° N, 79.8612° E",2022-11-27,21.8,10.5,15,21.8,10.5,15,11.7,82.1,0,0,0,,0,0,24.1,5.8,85.8,1012.8,5.3,24.1,180.6,15.6,7,10,2022-11-27T05:38:03,2022-11-27T16:18:22,0.12,Clear,Clear conditions throughout the day.,clear-day,remote
"6.9271° N, 79.8612° E",2022-11-28,21.1,9.4,15.1,21.1,9.4,15.1,12.1,83,0,0,0,,0,0,23.4,5.4,93.5,1014.4,33.6,24.1,140.2,12.2,6,10,2022-11-28T05:38:48,2022-11-28T16:18:18,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"6.9271° N, 79.8612° E",2022-11-29,22,9.6,15.5,22,9.6,15.5,12,81.4,0,0,0,,0,0,25.6,6.1,210.7,1015.7,17.5,24.1,158.9,13.7,6,10,2022-11-29T05:39:32,2022-11-29T16:18:15,0.19,Clear,Clear conditions throughout the day.,clear-day,remote
"6.9271° N, 79.8612° E",2022-11-30,22.5,11,16.2,22.5,11,16.2,12.9,81.9,0,0,0,,0,0,24.5,5.8,240.1,1016.4,20.6,23.8,158.7,13.6,6,10,2022-11-30T05:40:17,2022-11-30T16:18:14,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"6.9271° N, 79.8612° E",2022-12-01,22,11.8,16,22,11.8,16,13.6,86.6,0.2,100,8.33,rain,0,0,22.7,5.8,31.4,1015.6,22.8,24,136.4,11.7,5,10,2022-12-01T05:41:01,2022-12-01T16:18:15,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,remote
